County,Year,Asthma,Births,Children_In_Poverty,Communicable_Diseases,COPD_ED,Death_Age,Deaths,ED_Visits,Gini_Coefficient,Poor_Prenatal_Care,Population,Race_White,Race_Black,Race_American Indian,Race_Asian,Race_Native Hawaiian,Race_2orMore,Teen_Mother,Under1500G_Birth,Infant_Deaths,Median_Household_Income
Ocean,"2,019","10,451","9,011",0.191,"5,282","8,771",77,"7,387","202,026",0.43,14,"607,186",0.9271,0.0360,0.0028,0.0198,0.0005,0.0139,117,75,38,53139
Ocean,"2,020","8,599","9,279",0.191,"43,923","6,891",77.2,"8,656","144,734",0.43,12,"637,229",0.9248,0.0372,0.0029,0.0202,0.0005,0.0144,121,81,27,54752.96497
Passaic,"2,016","11,725","6,821",0.254,"1,781","2,941",74.5,"3,646","225,256",0.45,18,504147,0.7496,0.1506,0.0150,0.0572,0.0020,0.0256,341,100,22,47726
Passaic,"2,017","11,442","6,786",0.254,"2,349","2,624",74,"3,838","219,283",0.45,15,"504,402",0.7488,0.1496,0.0153,0.0579,0.0021,0.0263,336,74,23,48204
Passaic,"2,018","11,116","6,548",0.254,"3,490","2,661",73.7,"3,791","217,531",0.45,21,"503,183",0.7482,0.1495,0.0155,0.0581,0.0023,0.0264,324,94,29,50071
Passaic,"2,019","9,177","6,375",0.254,"3,143","3,432",74,"3,800","220,171",0.45,28,"501,826",0.7473,0.1499,0.0157,0.0583,0.0023,0.0266,282,97,27,52129
Passaic,"2,020","7,359","6,242",0.254,"48,469","2,681",73.5,"5,441","156,949",0.45,17,"524,118",0.7448,0.1509,0.0162,0.0586,0.0023,0.0271,274,79,25,53690.23517
Salem,"2,016","1,437",655,0.253,130,850,73.5,771,"24,082",0.46,2,"63,203",0.8146,0.1465,0.0057,0.0102,0.0004,0.0225,38,7,6,45932
Salem,"2,017","1,196",720,0.253,188,697,74.6,728,"23,069",0.46,1,"62,883",0.8128,0.1475,0.0060,0.0104,0.0006,0.0227,30,6,1,46715
Salem,"2,018","1,338",630,0.253,204,722,72.2,767,"20,734",0.46,1,"62,746",0.8122,0.1474,0.0061,0.0107,0.0006,0.0231,43,7,2,48105
Salem,"2,019",978,670,0.253,225,598,70.6,759,"21,140",0.46,5,"62,385",0.8082,0.1491,0.0065,0.0111,0.0006,0.0245,33,16,4,50203
Salem,"2,020",839,631,0.253,"3,765",543,71.9,930,"16,756",0.46,3,"64,837",0.8063,0.1506,0.0063,0.0112,0.0006,0.0250,28,12,3,51716.03083
Somerset,"2,016","4,355","3,301",0.06,709,"1,734",76.7,"2,356","60,563",0.45,8,"329,875",0.6991,0.1008,0.0037,0.1758,0.0008,0.0199,72,40,13,92514
Somerset,"2,017","4,039","3,118",0.06,864,"1,539",76.5,"2,459","57,391",0.45,8,"330,573",0.6908,0.1023,0.0038,0.1821,0.0008,0.0202,66,54,17,99189
Somerset,"2,018","3,740","3,258",0.06,"1,130","1,401",77.5,"2,470","53,873",0.45,4,"330,181",0.6841,0.1037,0.0038,0.1871,0.0008,0.0205,69,45,10,105161
Somerset,"2,019","4,095","3,097",0.06,"1,352","1,598",78,"2,514","58,576",0.45,6,"328,934",0.6778,0.1052,0.0040,0.1911,0.0009,0.0210,60,24,7,109916
Somerset,"2,020","2,888","2,972",0.06,"17,928","1,139",77.7,"3,100","42,968",0.45,3,"345,361",0.6702,0.1074,0.0041,0.1957,0.0009,0.0217,61,29,12,116422.1447
Sussex,"2,016","3,742","1,169",0.061,563,"1,580",73.4,"1,209","40,559",0.4,5,"141,925",0.9391,0.0224,0.0024,0.0200,0.0004,0.0157,17,13,3,57006
Sussex,"2,017","3,356","1,200",0.061,780,"1,452",73.1,"1,247","38,226",0.4,3,"141,197",0.9364,0.0237,0.0026,0.0205,0.0004,0.0164,22,13,7,58798
Sussex,"2,018","3,135","1,187",0.061,825,"1,443",74.5,"1,252","36,664",0.4,0,"140,801",0.9351,0.0248,0.0029,0.0201,0.0004,0.0166,12,4,2,61156
Sussex,"2,019","3,438","1,180",0.061,828,"1,643",73.1,"1,311","37,895",0.4,2,"140,488",0.9325,0.0262,0.0029,0.0207,0.0004,0.0172,15,19,7,63784
Sussex,"2,020","2,777","1,262",0.061,"6,779","1,159",74.4,"1,543","29,534",0.4,2,"144,221",0.9302,0.0277,0.0029,0.0213,0.0004,0.0174,15,10,5,66218.65152
Union,"2,016","12,029","6,748",0.124,"1,508","3,077",74.9,"3,947","202,383",0.49,16,"552,781",0.6791,0.2373,0.0075,0.0544,0.0011,0.0206,222,92,22,62697
Union,"2,017","10,582","6,847",0.124,"1,858","2,827",74.9,"3,963","197,615",0.49,12,"554,738",0.6770,0.2373,0.0077,0.0559,0.0011,0.0210,214,69,30,65130
Union,"2,018","11,016","6,762",0.124,"2,814","3,207",74.7,"4,087","187,676",0.49,24,"556,402",0.6746,0.2376,0.0081,0.0569,0.0012,0.0216,207,107,31,68313
Union,"2,019","13,119","6,623",0.124,"2,804","4,163",74.5,"3,981","196,185",0.49,33,"556,341",0.6717,0.2386,0.0083,0.0580,0.0013,0.0222,213,95,32,70865
Union,"2,020","8,859","6,337",0.124,"47,216","3,018",74.2,"5,801","137,513",0.49,16,"575,345",0.6692,0.2393,0.0087,0.0591,0.0013,0.0223,189,75,29,73818.52635
Warren,"2,016","3,192",939,0.093,485,"1,641",74.3,"1,000","36,316",0.42,1,"106,059",0.9035,0.0478,0.0028,0.0289,0.0008,0.0162,20,14,9,52006
Warren,"2,017","2,852",911,0.093,828,"1,829",75,"1,047","37,843",0.42,4,"105,715",0.8995,0.0507,0.0028,0.0289,0.0008,0.0173,21,9,3,53669
Warren,"2,018","3,211",996,0.093,623,"1,799",74.9,"1,034","36,325",0.42,3,"105,528",0.8952,0.0543,0.0030,0.0288,0.0090,0.0178,21,12,5,55448
Warren,"2,019","3,521",941,0.093,762,"1,797",75.5,"1,033","37,022",0.42,0,"105,267",0.8906,0.0576,0.0036,0.0291,0.0009,0.0182,24,11,4,57854
Warren,"2,020","2,767",888,0.093,"5,866","1,407",75.6,"1,242","27,124",0.42,2,"109,632",0.8853,0.0617,0.0039,0.0296,0.0009,0.0186,20,11,5,59946.70865
