County,Asthma,Births,Children_In_Poverty,Communicable_Diseases,COPD_ED,Death_Age,Deaths,ED_Visits,Gini_Coefficient,Poor_Prenatal_Care,Population_2020,Race_White,Race_Black,Race_American_Indian,Race_Asian,Race_Native_Hawaiian,Race_Other,Race_2orMore,Teen_Mother,Under1500G_Birth,,,,,,,,,,,
Cumberland 2019,"4,850","1,802",0.192,628,"2,350",72.4,"1,625","102,296",0.51,11,"154,152","74,606","28,581","2,382","2,108",19,"28,050","18,406",135,28,,,,,,,,,,,
Cumberland 2020,"2,644","1,784",0.192,"11,010","1,310",72.3,"1,913","82,128",0.51,3,"154,152","74,606","28,581","2,382","2,108",19,"28,050","18,406",122,24,,,,,,,,,,,
Essex 2016,"41,179","10,422",0.221,"2,170","7,407",71.1,"5,985","369,917",0.54,41,"863,728","261,487","335,047","4,604","47,591",378,"124,085","90,536",482,213,,,,,,,,,,,
Essex 2017,"41,786","10,277",0.221,"2,525","7,166",71.5,"6,105","353,169",0.54,58,"863,728","261,487","335,047","4,604","47,591",378,"124,085","90,536",392,205,,,,,,,,,,,
Essex 2018,"40,820","10,399",0.221,"4,210","7,364",71.8,"6,125","337,952",0.54,64,"863,728","261,487","335,047","4,604","47,591",378,"124,085","90,536",423,222,,,,,,,,,,,
Essex 2019,"39,850","9,890",0.221,"5,200","7,860",71.7,"5,958","351,909",0.54,74,"863,728","261,487","335,047","4,604","47,591",378,"124,085","90,536",388,209,,,,,,,,,,,
Essex 2020,"26,720","9,618",0.221,"60,363","5,179",71.7,"8,802","258,723",0.54,52,"863,728","261,487","335,047","4,604","47,591",378,"124,085","90,536",334,154,,,,,,,,,,,
Gloucester 2016,"5,221","2,859",0.085,952,"2,437",73.7,"2,638","89,325",0.42,9,"302,294","230,313","32,992",727,"9,543",84,"8,134","20,501",81,36,,,,,,,,,,,
Gloucester 2017,"5,527","2,920",0.085,"1,035","2,555",73,"2,778","85,959",0.42,13,"302,294","230,313","32,992",727,"9,543",84,"8,134","20,501",76,48,,,,,,,,,,,
Gloucester 2018,"4,693","2,812",0.085,"1,110","2,046",73.4,"2,831","74,168",0.42,9,"302,294","230,313","32,992",727,"9,543",84,"8,134","20,501",63,34,,,,,,,,,,,
Gloucester 2019,"3,687","2,958",0.085,"1,221","1,787",73.1,"2,787","72,387",0.42,11,"302,294","230,313","32,992",727,"9,543",84,"8,134","20,501",65,48,,,,,,,,,,,
Gloucester 2020,"1,682","2,697",0.085,"19,028","1,039",74.4,"3,295","55,207",0.42,3,"302,294","230,313","32,992",727,"9,543",84,"8,134","20,501",50,30,,,,,,,,,,,
Hudson 2016,"16,200","10,355",0.167,"1,568","5,975",71.4,"3,713","245,085",0.5,24,"724,854","248,561","79,498","7,388","124,555",417,"159,950","104,485",261,125,,,,,,,,,,,
Hudson 2017,"16,719","10,151",0.167,"2,150","6,372",71.5,"3,842","238,535",0.5,28,"724,854","248,561","79,498","7,388","124,555",417,"159,950","104,485",285,146,,,,,,,,,,,
Hudson 2018,"15,522","10,215",0.167,"3,676","6,967",72.2,"3,840","251,653",0.5,22,"724,854","248,561","79,498","7,388","124,555",417,"159,950","104,485",241,137,,,,,,,,,,,
Hudson 2019,"16,475","9,959",0.167,"3,167","7,682",72.1,"3,738","249,305",0.5,20,"724,854","248,561","79,498","7,388","124,555",417,"159,950","104,485",229,118,,,,,,,,,,,
Hudson 2020,"14,487","9,492",0.167,"54,940","5,712",71.7,"5,831","173,030",0.5,22,"724,854","248,561","79,498","7,388","124,555",417,"159,950","104,485",224,117,,,,,,,,,,,
Hunterdon 2016,727,933,0.038,586,531,76.4,918,"26,339",0.45,1,"128,947","106,790","3,174",282,"5,714",23,"4,105","8,859",8,12,,,,,,,,,,,
Hunterdon 2017,744,945,0.038,"1,026",483,75.2,890,"24,176",0.45,2,"128,947","106,790","3,174",282,"5,714",23,"4,105","8,859",5,8,,,,,,,,,,,
Hunterdon 2018,849,966,0.038,"1,015",476,76.8,901,"22,667",0.45,0,"128,947","106,790","3,174",282,"5,714",23,"4,105","8,859",8,10,,,,,,,,,,,
Hunterdon 2019,876,"1,001",0.038,"1,073",560,76.3,930,"24,389",0.45,0,"128,947","106,790","3,174",282,"5,714",23,"4,105","8,859",15,13,,,,,,,,,,,
Hunterdon 2020,604,988,0.038,"5,778",454,77,"1,106","19,254",0.45,3,"128,947","106,790","3,174",282,"5,714",23,"4,105","8,859",4,4,,,,,,,,,,,
Mercer 2016,"16,933","4,192",0.185,"1,428","3,447",74.4,"2,957","170,744",0.51,16,"387,340","178,447","74,993","2,442","48,537",206,"49,572","33,143",191,72,,,,,,,,,,,
Mercer 2017,"16,308","4,021",0.185,"1,388","3,977",73.8,"2,849","170,576",0.51,21,"387,340","178,447","74,993","2,442","48,537",206,"49,572","33,143",150,66,,,,,,,,,,,
Mercer 2018,"13,556","3,935",0.185,"1,938","3,842",74.4,"2,994","167,336",0.51,12,"387,340","178,447","74,993","2,442","48,537",206,"49,572","33,143",178,55,,,,,,,,,,,
Mercer 2019,"12,900","4,056",0.185,"1,982","4,343",74.4,"2,970","174,233",0.51,12,"387,340","178,447","74,993","2,442","48,537",206,"49,572","33,143",217,55,,,,,,,,,,,
Mercer 2020,"10,664","3,893",0.185,"23,380","3,511",73.6,"3,788","127,972",0.51,15,"387,340","178,447","74,993","2,442","48,537",206,"49,572","33,143",194,47,,,,,,,,,,,
Middlesex 2016,"14,790","9,435",0.113,"1,758","4,904",74.9,"5,991","232,944",0.43,17,"863,162","361,742","84,360","4,614","228,813",340,"105,028","78,265",207,127,,,,,,,,,,,
Middlesex 2017,"13,493","9,214",0.113,"1,996","4,610",75.8,"6,097","229,244",0.43,17,"863,162","361,742","84,360","4,614","228,813",340,"105,028","78,265",215,112,,,,,,,,,,,
Middlesex 2018,"10,638","8,958",0.113,"2,545","4,027",74.9,"6,141","222,240",0.43,20,"863,162","361,742","84,360","4,614","228,813",340,"105,028","78,265",227,130,,,,,,,,,,,
Middlesex 2019,"13,746","8,611",0.113,"2,336","4,991",75.6,"6,020","219,730",0.43,24,"863,162","361,742","84,360","4,614","228,813",340,"105,028","78,265",197,109,,,,,,,,,,,
Middlesex 2020,"10,334","8,485",0.113,"55,213","3,672",75.2,"7,878","156,059",0.43,23,"863,162","361,742","84,360","4,614","228,813",340,"105,028","78,265",204,95,,,,,,,,,,,
Monmouth 2016,"15,250","5,861",0.077,"2,344","6,641",76.4,"5,426","207,250",0.49,7,"643,615","476,056","41,124","2,361","36,316",163,"36,259","51,336",100,61,,,,,,,,,,,
Monmouth 2017,"13,570","5,650",0.077,"2,723","6,340",76.2,"5,515","199,436",0.49,10,"643,615","476,056","41,124","2,361","36,316",163,"36,259","51,336",124,85,,,,,,,,,,,
Monmouth 2018,"12,640","5,833",0.077,"4,170","6,427",76.2,"5,864","198,709",0.49,10,"643,615","476,056","41,124","2,361","36,316",163,"36,259","51,336",114,70,,,,,,,,,,,
Monmouth 2019,"11,795","5,567",0.077,"4,146","6,081",76.6,"5,633","190,140",0.49,8,"643,615","476,056","41,124","2,361","36,316",163,"36,259","51,336",95,44,,,,,,,,,,,
Monmouth 2020,"7,827","5,766",0.077,"42,582","4,406",77,"6,858","130,000",0.49,10,"643,615","476,056","41,124","2,361","36,316",163,"36,259","51,336",72,80,,,,,,,,,,,
Morris 2016,"7,944","4,658",0.046,"1,367","2,907",77.7,"3,776","110,146",0.46,5,"509,285","354,824","16,669","1,632","58,034",127,"31,260","46,739",51,49,,,,,,,,,,,
Morris 2017,"7,973","4,680",0.046,"2,032","2,871",77.7,"3,920","108,152",0.46,3,"509,285","354,824","16,669","1,632","58,034",127,"31,260","46,739",56,43,,,,,,,,,,,
Morris 2018,"7,767","4,548",0.046,"2,372","3,003",78.4,"4,031","106,687",0.46,5,"509,285","354,824","16,669","1,632","58,034",127,"31,260","46,739",52,34,,,,,,,,,,,
